Unloaded_ID,Loaded_ID,Condition,Treatment
599112,599113,control,untreated
599114,599115,lowinjury,untreated
599116,599117,highinjury,untreated
599118,599119,control,untreated
599120,599121,lowinjury,untreated
599122,599123,highinjury,untreated
599124,599125,control,untreated
599126,599127,lowinjury,untreated
599128,599129,highinjury,untreated
599130,599131,control,untreated
599132,599133,lowinjury,untreated
599134,599135,control,untreated
599143,599144,lowinjury,untreated
599145,599146,highinjury,untreated
599147,599148,highinjury,untreated
599161,599166,aged_lowinjury,ribosetreated
599167,599168,aged_highinjury,ribosetreated
599170,599171,aged_control,ribosetreated
599173,599174,aged_lowinjury,ribosetreated
599175,599176,aged_highinjury,ribosetreated
599177,599178,aged_control,ribosetreated
599179,599180,aged_lowinjury,ribosetreated
599181,599182,aged_highinjury,ribosetreated
599192,599193,aged_lowinjury,ribosetreated
599194,599195,aged_highinjury,ribosetreated
599196,599197,aged_control,ribosetreated
599198,599199,aged_lowinjury,ribosetreated
599200,599201,aged_highinjury,ribosetreated
599202,599203,aged_control,ribosetreated
599204,599205,aged_control,ribosetreated
