sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,28_1.txt,1,28,0.043965,0.000717,tz,159.628612,0.469302,66.170905,0.001974,0.3,49.08221,untreated,control,unloaded,AC
599112,28_10.txt,10,28,0.061243,0.001431,tz,-1.281469,0.565143,66.660114,0.00395,0.3,27.054268,untreated,control,unloaded,AC
599112,28_11.txt,11,28,0.062229,0.000515,tz,4.258164,1.110875,66.508304,0.002628,0.3,35.503858,untreated,control,unloaded,AC
599112,28_12.txt,12,28,0.065192,0.002088,tz,1.125353,0.730704,66.227037,0.003478,0.3,37.156801,untreated,control,unloaded,AC
599112,28_2.txt,2,28,0.046297,0.002593,tz,-1.823196,1.000925,66.427869,0.002673,0.3,42.488633,untreated,control,unloaded,AC
599112,28_3.txt,3,28,0.054006,0.000823,tz,155.501137,0.286122,67.077127,0.004247,0.3,28.446435,untreated,control,unloaded,AC
599112,28_4.txt,4,28,0.061593,0.00044,tz,183.876138,1.242878,66.881981,0.000777,0.3,26.15147,untreated,control,unloaded,AC
599112,28_5.txt,5,28,0.055629,0.001507,tz,-8.846596,0.666177,67.044102,0.003455,0.3,23.658019,untreated,control,unloaded,AC
599112,28_6.txt,6,28,0.055265,0.001969,tz,164.759781,0.722667,66.419969,0.0022,0.3,32.065127,untreated,control,unloaded,AC
599112,28_7.txt,7,28,0.056038,0.001701,tz,-0.381084,0.710033,66.765484,0.006396,0.3,27.094339,untreated,control,unloaded,AC
599112,28_8.txt,8,28,0.057206,0.001079,tz,180.565585,1.256299,66.143888,0.002683,0.3,41.315901,untreated,control,unloaded,AC
599112,28_9.txt,9,28,0.060302,0.000657,tz,-1.502246,0.930736,66.097115,0.004513,0.3,39.416137,untreated,control,unloaded,AC
599112,29_0.txt,0,29,0.064463,0.000655,tz,168.834162,0.985619,66.735862,0.001385,0.3,29.937007,untreated,control,unloaded,AC
599112,29_1.txt,1,29,0.067213,0.000047,tz,169.418784,0.783557,65.400619,0.004142,0.3,282.772896,untreated,control,unloaded,AC
599112,29_10.txt,10,29,0.073932,0.003283,tz,177.241944,0.590215,66.65323,0.004641,0.3,32.684987,untreated,control,unloaded,AC
599112,29_11.txt,11,29,0.072933,0.000765,tz,168.649634,0.449622,66.654857,0.002903,0.3,35.506195,untreated,control,unloaded,AC
599112,29_12.txt,12,29,0.072245,0.002785,tz,178.552241,0.882029,66.733935,0.002202,0.3,29.375029,untreated,control,unloaded,AC
599112,29_2.txt,2,29,0.069102,0.000886,tz,20.244012,0.726147,66.721335,0.001893,0.3,30.460802,untreated,control,unloaded,AC
599112,29_3.txt,3,29,0.071163,0.00362,tz,153.721907,0.48726,66.162845,0.00293,0.3,38.366245,untreated,control,unloaded,AC
599112,29_4.txt,4,29,0.072625,0.001131,tz,182.08059,0.771063,66.776297,0.003089,0.3,27.072305,untreated,control,unloaded,AC
599112,29_5.txt,5,29,0.072556,0.000652,tz,177.427624,1.30163,66.194606,0.005668,0.3,30.126267,untreated,control,unloaded,AC
599112,29_6.txt,6,29,0.073027,0.002071,tz,168.483265,0.236637,67.050445,0.003532,0.3,26.659813,untreated,control,unloaded,AC
599112,29_7.txt,7,29,0.071929,0.001103,tz,-0.338907,0.673484,66.690603,0.001042,0.3,28.456964,untreated,control,unloaded,AC
599112,29_8.txt,8,29,0.07356,0.00154,tz,-1.696074,0.595389,66.507502,0.005298,0.3,32.891207,untreated,control,unloaded,AC
599112,29_9.txt,9,29,0.072543,0.001485,tz,165.483666,0.577071,66.591302,0.00364,0.3,32.277699,untreated,control,unloaded,AC
599112,30_0.txt,0,30,0.063747,0.002248,tz,-0.937576,0.766558,66.628326,0.002203,0.3,32.510325,untreated,control,unloaded,AC
599112,30_1.txt,1,30,0.06333,0.001799,tz,-0.130999,0.790474,66.493784,0.00317,0.3,29.293462,untreated,control,unloaded,AC
599112,30_10.txt,10,30,0.064584,0.002595,tz,171.91555,1.257826,66.831754,0.003654,0.3,27.101879,untreated,control,unloaded,AC
599112,30_11.txt,11,30,0.065029,0.004635,tz,-4.016744,0.703862,66.776907,0.003215,0.3,32.951253,untreated,control,unloaded,AC
599112,30_12.txt,12,30,0.063667,0.003836,tz,170.793992,0.859214,66.589813,0.002928,0.3,35.40782,untreated,control,unloaded,AC
599112,30_2.txt,2,30,0.063898,0.0018,tz,-6.19057,0.776626,66.230933,0.004018,0.3,37.494683,untreated,control,unloaded,AC
599112,30_3.txt,3,30,0.064656,0.003177,tz,14.04244,0.911509,66.444972,0.00321,0.3,30.912751,untreated,control,unloaded,AC
599112,30_4.txt,4,30,0.063433,0.003494,tz,183.811847,1.088744,66.391153,0.0045,0.3,31.14375,untreated,control,unloaded,AC
599112,30_5.txt,5,30,0.063367,0.00324,tz,167.835625,0.297286,66.971589,0.003478,0.3,26.739308,untreated,control,unloaded,AC
599112,30_6.txt,6,30,0.062658,0.001736,tz,180.07583,0.903984,66.915957,0.001793,0.3,26.210914,untreated,control,unloaded,AC
599112,30_7.txt,7,30,0.063611,0.003214,tz,178.122647,1.013799,66.362825,0.003581,0.3,45.010816,untreated,control,unloaded,AC
599112,30_8.txt,8,30,0.063528,0.004157,tz,178.462888,0.861565,66.423986,0.004665,0.3,35.150112,untreated,control,unloaded,AC
